_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	base
haten.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-6.622836822416735e-4	1.3504972895436973	NA	NA	nobound	618	all	10_10	1	selection	FOC	325	nav	4_4	229	haten	NA	NA	BOW
haten.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.1059221336023543	1.2901461493701818	NA	NA	nobound	618	all	10_10	1	selection	FOC	618	all	4_4	229	haten	NA	NA	BOW
haten.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.31642619116099807	1.6316651137429152	NA	NA	nobound	1305	all	10_10	1	no	5000	5000	nav	4_4	229	haten	NA	NA	BOW
haten.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	-1.1282991137116678	-2.223362952537721	NA	NA	nobound	1305	all	10_10	1	no	5000	5000	all	4_4	229	haten	NA	NA	BOW
haten.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.17800582632821454	1.5808518127539695	NA	NA	nobound	1305	all	10_10	1	no	FOC	717	nav	4_4	229	haten	NA	NA	BOW
haten.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.1458887723333176	1.5746047817221789	NA	NA	nobound	1305	all	10_10	1	no	FOC	1305	all	4_4	229	haten	NA	NA	BOW
haten.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-1.4220015692999801	0.15257270748791127	NA	NA	nobound	304	lex	5_5	1	weight	5000	5000	nav	4_4	214	haten	NA	NA	BOW
haten.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	-1.5211619031698835	-0.8111399099385026	NA	NA	nobound	304	lex	5_5	1	weight	5000	5000	all	4_4	214	haten	NA	NA	BOW
haten.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-1.4164346478940397	0.7925531120167563	NA	NA	nobound	304	lex	5_5	1	weight	FOC	219	nav	4_4	214	haten	NA	NA	BOW
haten.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-1.3734406854677645	0.7117864896727892	NA	NA	nobound	304	lex	5_5	1	weight	FOC	304	all	4_4	214	haten	NA	NA	BOW
haten.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-1.5386597206862156	0.03316805719211578	NA	NA	nobound	304	lex	5_5	1	selection	5000	5000	nav	4_4	214	haten	NA	NA	BOW
haten.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	-1.627572088639958	-0.7963515107939327	NA	NA	nobound	304	lex	5_5	1	selection	5000	5000	all	4_4	214	haten	NA	NA	BOW
haten.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-1.4448743969587656	0.5816663049606965	NA	NA	nobound	304	lex	5_5	1	selection	FOC	219	nav	4_4	214	haten	NA	NA	BOW
haten.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-1.4218279309710722	0.5237516397626302	NA	NA	nobound	304	lex	5_5	1	selection	FOC	304	all	4_4	214	haten	NA	NA	BOW
haten.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	-2.078736699675914	0.16701607324345827	NA	NA	nobound	485	lex	5_5	1	no	5000	5000	nav	4_4	226	haten	NA	NA	BOW
haten.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	-1.9746659131972477	-0.8885317699866446	NA	NA	nobound	485	lex	5_5	1	no	5000	5000	all	4_4	226	haten	NA	NA	BOW
haten.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.8081528038460006	0.7257547059749703	NA	NA	nobound	485	lex	5_5	1	no	FOC	363	nav	4_4	226	haten	NA	NA	BOW
haten.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	-1.7882838580011127	0.7192803590879133	NA	NA	nobound	485	lex	5_5	1	no	FOC	485	all	4_4	226	haten	NA	NA	BOW
haten.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	0.7366209675011209	0.7459646138769782	NA	NA	nobound	446	all	5_5	1	weight	5000	5000	nav	4_4	229	haten	NA	NA	BOW
haten.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	0.1641259148249534	-0.8461362206269151	NA	NA	nobound	446	all	5_5	1	weight	5000	5000	all	4_4	229	haten	NA	NA	BOW
haten.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	0.6347313408858851	1.0473236423379266	NA	NA	nobound	446	all	5_5	1	weight	FOC	219	nav	4_4	229	haten	NA	NA	BOW
haten.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	0.7287248430738604	0.9848506062205961	NA	NA	nobound	446	all	5_5	1	weight	FOC	446	all	4_4	229	haten	NA	NA	BOW
haten.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.26963643392689524	-0.13898542283906132	NA	NA	nobound	446	all	5_5	1	selection	5000	5000	nav	4_4	229	haten	NA	NA	BOW
haten.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	-0.3839123513011048	-1.35583070704705	NA	NA	nobound	446	all	5_5	1	selection	5000	5000	all	4_4	229	haten	NA	NA	BOW
haten.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.27222355105287344	0.7653616720750268	NA	NA	nobound	446	all	5_5	1	selection	FOC	219	nav	4_4	229	haten	NA	NA	BOW
haten.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.3596762995730213	0.7316687744580057	NA	NA	nobound	446	all	5_5	1	selection	FOC	446	all	4_4	229	haten	NA	NA	BOW
haten.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	0.11576197599393442	-0.5891522250564026	NA	NA	nobound	698	all	5_5	1	no	5000	5000	nav	4_4	229	haten	NA	NA	BOW
haten.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall	-0.5343222312503979	-1.8251436439166162	NA	NA	nobound	698	all	5_5	1	no	5000	5000	all	4_4	229	haten	NA	NA	BOW
haten.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.16194520931844764	1.0274571210902261	NA	NA	nobound	698	all	5_5	1	no	FOC	363	nav	4_4	229	haten	NA	NA	BOW
haten.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSall	0.20476326113939028	0.9299571088191749	NA	NA	nobound	698	all	5_5	1	no	FOC	698	all	4_4	229	haten	NA	NA	BOW
haten.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.6047059469342548	-0.0804134743423769	NA	NA	nobound	206	lex	3_3	1	weight	5000	5000	nav	4_4	179	haten	NA	NA	BOW
haten.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.5616050495586665	-0.6297147010680035	NA	NA	nobound	206	lex	3_3	1	weight	5000	5000	all	4_4	179	haten	NA	NA	BOW
