measure	globqual	meanclassqual	classqual_herstructureren_2	classqual_herstructureren_3	classqual_herstructureren_1	model	technique
DR	1.0546347554254083	1.0201821651017604	1.190822290483822	0.9869615106364976	0.8827626941849618	herstructureren.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	mds
SIL	-0.018042939183110642	-0.04572279542206007	0.08591442229899615	-0.07834577663337354	-0.14473703193180282	herstructureren.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.4093519887989106	0.3335720290592925	0.5763139018057175	0.11638388543652681	0.3080182999356333	herstructureren.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	mds
kNN_k15	0.4339041095890411	0.36607473997970574	0.5716894977168949	0.159	0.3675347222222222	herstructureren.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	mds
kNN_k10	0.44209215442092153	0.37555797703057975	0.575840597758406	0.1709090909090909	0.3799242424242424	herstructureren.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	mds
DR	1.064167918945672	1.0440368176411292	1.1557041943071835	1.0155722323593603	0.9608340262568438	herstructureren.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	mds
SIL	-0.006765184760104314	-0.02378851779781043	0.07269182399170941	-0.046285809639513224	-0.09777156774562748	herstructureren.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.3626287078500799	0.3058573851119819	0.48148883752270694	0.11880400311098263	0.31727931470225623	herstructureren.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	mds
kNN_k17	0.42233756247597076	0.3704555119490297	0.5229555236728838	0.1933739012846518	0.39503711088955357	herstructureren.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.42823529411764705	0.3784811378744466	0.5175166297117516	0.2031347962382445	0.4147919876733436	herstructureren.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	mds
DR	1.0767924046810506	1.0566898006431216	1.16306586110962	1.0243300241191733	0.9826735167005716	herstructureren.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	mds
SIL	-0.005132807276088382	-0.021615152751883786	0.06237928371932701	-0.05061937582012947	-0.07660536615484889	herstructureren.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.42655730839904016	0.3599789591377901	0.5532011876343924	0.1308386885047683	0.3958970012742097	herstructureren.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	mds
kNN_k17	0.4286812764321415	0.3750586697372916	0.5276582177586482	0.1881902186161821	0.4093275728370444	herstructureren.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.4477005347593583	0.3957092989451758	0.5443458980044346	0.21504702194357367	0.42773497688751927	herstructureren.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	mds
DR	1.0430754508221671	1.0200397564397525	1.1442097347252067	0.9847011382915851	0.9312083963024658	herstructureren.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	mds
SIL	-0.014007496314667122	-0.03469992295332749	0.07782899204228862	-0.06568483907576389	-0.11624392182650718	herstructureren.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	mds
