	file	token_id	left	target	right	type
156	volkskrant_19990610_83		het debat rond euro en verdergaande federalisering nergens met zoveel	hartstocht	gevoerd als aan deze zijde van het Kanaal . Aan	hartstocht/noun
157	nrc_handelsblad_20010222_182		voorwerpen en keramiek worden verkocht in de twee tegenover elkaar	gesitueerde	boetiekjes Kazé op nr 34 en 11 van de rue	gesitueerd/adj
158	algemeen_dagblad_20020603_92		van Sydney , waar ze vijfde werd , de zwarte	hengst	Ferro weer in de ring . Dat ging boven verwachting	hengst/noun
159	volkskrant_19990122_158		was zijn prooi , de schilder een dompteur van zwarte	hartstochten	. Hij ontbeende zijn vangst in opgeruimde kamers , soms	hartstocht/noun
160	volkskrant_19990122_158		op een hotelbed of de wc . Wie in die	helle	ruimten belandt , is ademend aas , een stoffelijk overschot	hel/adj
161	het_laatste_nieuws_20030623_01_37		andquot; De Mechelse brandweer kon de slachtoffers snel uit hun	hachelijke	positie bevrijden . Het ging om David Deramaix ( 25	hachelijk/adj
162	parool_20020221_111		Maakt één rotte appel een agressieve bende ? Lees en	huiver	. Geregeld komen de scheidsrechters bij elkaar voor overleg .	huiver/verb
163	de_morgen_20020504_01_21		Die is veel groter . Als je een overheidsbedrijf kunt	herstructureren	", geeft dat een enorme voldoening . 	 Ook het"	herstructureer/verb
164	nrc_handelsblad_20031106_30		kloof tussen theorie en praktijk . Nog steeds zien Turkse	haviken	alleen al het uitspreken van Koerdische namen als een teken	havik/noun
165	parool_19991104_65		. Volgens het ministerie van Defensie zijn inmiddels driehonderd islamitische	huurlingen	in Tsjetsjenië aangekomen vanuit Tadzjikistan . Het ministerie beweerde tevens	huurling/noun
166	de_standaard_20010526_01_106		voor veel mensen is hun woning hun appeltje voor de	dorst	, hun kapitaalverwerving . Dat is toch ieders recht ?	dorst/noun
167	de_standaard_20010526_01_106		schuiven . Het is zoals met aandelenkoersen in een economische	dip	: zij die niet kunnen wachten met verkopen , moeten	dip/noun
168	nrc_handelsblad_20010828_116		van de schietschijfsilhouetten is neergeschoten , doemt er uit het	duister	een echte meneer op . Dreigend langzaam loopt hij naar	duister/noun
