_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	base
heffen.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.31488399178204746	-1.0728463327766238	NA	NA	nobound	454	lex	10_10	1	selection	5000	5000	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.24327512322692033	-0.3524540938483202	NA	NA	nobound	454	lex	10_10	1	selection	FOC	314	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.23681587424016878	-0.36972155198061846	NA	NA	nobound	454	lex	10_10	1	selection	FOC	454	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.6847724649158099	-0.7711100474697057	NA	NA	nobound	991	lex	10_10	1	no	5000	5000	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.9955829462942212	-1.5856939007511368	NA	NA	nobound	991	lex	10_10	1	no	5000	5000	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.6058502027382923	-0.5970331334320368	NA	NA	nobound	991	lex	10_10	1	no	FOC	702	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.5909010141419292	-0.6067186175401978	NA	NA	nobound	991	lex	10_10	1	no	FOC	991	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.21636595976429837	-0.21839480635497627	NA	NA	nobound	598	all	10_10	1	weight	5000	5000	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.24763246056751792	-0.8081159756990652	NA	NA	nobound	598	all	10_10	1	weight	5000	5000	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.1869382809775202	-0.20579063939884001	NA	NA	nobound	598	all	10_10	1	weight	FOC	314	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.18322532818588003	-0.2275869862185396	NA	NA	nobound	598	all	10_10	1	weight	FOC	598	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.9059034795661469	0.07944035882357466	NA	NA	nobound	598	all	10_10	1	selection	5000	5000	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	-0.9744095647822361	-0.6803558174857629	NA	NA	nobound	598	all	10_10	1	selection	5000	5000	all	4_4	218	heffen	NA	NA	BOW
